id,name,population,new_case,new_death,new_recovered,new_active,total_case,total_death,total_active,total_recovered,death_yesterday,case_yesterday,recovered_yesterday,death_average_7days,case_average_7days,percent_case_population,last_updated
1,Hà Nội,8053664,207,0,0,0,1601816,1221,0,0,0,218,0,0,228.86,19.88928269,6/5/2022
2,TP HCM,8993082,10,0,0,0,611167,19984,0,0,0,22,0,0,20.71,6.795968279,6/5/2022
28,Thanh Hóa,3640128,8,0,0,0,167483,107,0,0,0,9,0,0,7.29,4.601019525,6/5/2022
29,Nghệ An,3327791,13,0,0,0,484844,145,0,0,0,49,0,0,38.57,14.56954478,6/5/2022
48,Đồng Nai,3097107,0,0,0,0,106637,1899,0,0,0,2,0,0,0.86,3.443116431,6/5/2022
44,Bình Dương,2426561,0,0,0,0,320892,3518,0,0,0,0,0,0.14,1.43,13.22414726,6/5/2022
51,An Giang,1908352,0,0,0,0,41254,1321,0,0,0,0,0,0,0.14,2.161760514,6/5/2022
21,Hải Dương,1892254,0,0,0,0,363308,114,0,0,0,21,0,0,21,19.19974803,6/5/2022
40,Đắk Lắk,1869322,0,0,0,0,170585,201,0,0,0,0,0,0,0,9.125501118,6/5/2022
26,Thái Bình,1860447,20,0,0,0,292428,23,0,0,0,20,0,0,21.29,15.71815806,6/5/2022
3,Hải Phòng,1837173,5,0,0,0,120005,135,0,0,0,26,0,0,17.43,6.532046791,6/5/2022
18,Bắc Giang,1803950,0,0,0,0,387614,91,0,0,0,0,0,0,3,21.48695917,6/5/2022
25,Nam Định,1780393,8,0,0,0,295679,149,0,0,0,8,0,0,15.86,16.60751306,6/5/2022
53,Tiền Giang,1764185,0,0,0,0,36212,1290,0,0,0,0,0,0,0,2.052619198,6/5/2022
54,Kiên Giang,1723067,0,0,0,0,39792,1027,0,0,0,0,0,0,0,2.309370442,6/5/2022
49,Long An,1688547,0,0,0,0,48979,1088,0,0,0,0,0,0,0,2.900659561,6/5/2022
50,Đồng Tháp,1599504,0,0,0,0,50593,1007,0,0,0,0,0,0,0.57,3.163043043,6/5/2022
38,Gia Lai,1513847,0,0,0,0,69489,116,0,0,0,0,0,0,2.43,4.590226093,6/5/2022
34,Quảng Nam,1495812,0,0,0,0,49217,150,0,0,0,0,0,0,0,3.290319907,6/5/2022
37,Bình Định,1486918,3,0,0,0,137069,281,0,0,0,0,0,0,4,9.218329457,6/5/2022
15,Phú Thọ,1463726,22,0,0,0,320625,97,0,0,0,37,0,0,35.86,21.90471441,6/5/2022
19,Bắc Ninh,1368840,0,0,0,0,344186,136,0,0,0,0,0,0,60.71,25.1443558,6/5/2022
