,id,name,lastOnceInjected,lastTwiceInjected,popOverEighteen,population,totalInjected,totalOnceInjected,totalTwiceInjected,totalVaccineProvided,totalVaccineAllocatedReality,totalVaccineAllocated,currentTeamInjectInPractice,last_updated
0,1,Hà Nội,0,0,6200000,8053664,16964966,6296902,6273423,12294742,12294742,11376541,0,6/5/2022
1,2,TP HCM,0,0,7208800,8993082,20880567,8154658,7717102,14637020,14637020,13794299,0,6/5/2022
2,28,Thanh Hóa,0,0,2393453,3640128,7820516,2915106,2143289,3877590,3877590,4794541,0,6/5/2022
3,29,Nghệ An,0,0,1960668,3327791,7028648,2420059,2241417,3900900,3900900,4267816,0,6/5/2022
4,48,Đồng Nai,0,0,2384309,3097107,7899783,3304557,3036843,5025430,5025430,4256053,0,6/5/2022
5,44,Bình Dương,0,0,2066553,2426561,6936665,2938736,2393716,4772470,4772470,3550283,0,6/5/2022
6,51,An Giang,0,0,1457127,1908352,4398606,1692166,1542644,3112132,3112132,2606158,0,6/5/2022
7,21,Hải Dương,0,0,1344063,1892254,4105015,1562902,1473468,2025640,2025640,2598385,0,6/5/2022
8,40,Đắk Lắk,0,0,1266098,1869322,3843070,1541738,1378799,2100110,2100110,2317760,0,6/5/2022
9,26,Thái Bình,0,0,1373070,1860447,3870734,1370658,1353694,1893980,1893980,2526449,0,6/5/2022
10,3,Hải Phòng,0,0,1580000,1837173,4861162,1946297,1571395,2767400,2767400,2857279,0,6/5/2022
11,18,Bắc Giang,0,0,1280197,1803950,4310377,1464791,1385503,2203610,2203610,2408322,0,6/5/2022
12,25,Nam Định,0,0,1159000,1780393,3676366,1381438,1246136,1772560,1772560,2341610,0,6/5/2022
13,53,Tiền Giang,0,0,1488385,1764185,4146152,1555475,1438768,2974320,2974320,2512418,0,6/5/2022
14,54,Kiên Giang,0,0,1248338,1723067,3707413,1508846,1339997,3001880,3001880,2371842,0,6/5/2022
15,49,Long An,0,0,1361733,1688547,4655184,1776234,1644303,2998000,2998000,2397297,0,6/5/2022
16,50,Đồng Tháp,0,0,1181264,1599504,3856302,1576710,1372028,2705690,2705690,2244402,0,6/5/2022
17,38,Gia Lai,0,0,950154,1513847,3128886,1260383,1043858,1795832,1795832,1760170,0,6/5/2022
18,34,Quảng Nam,0,0,1250469,1495812,3392771,1259775,1185857,2149770,2149770,1966932,0,6/5/2022
19,37,Bình Định,0,0,1110818,1486918,3376826,1257201,1166176,1902530,1902530,1966752,0,6/5/2022
20,15,Phú Thọ,0,0,1029489,1463726,3232283,1184569,1153894,1729400,1729400,1894260,0,6/5/2022
21,19,Bắc Ninh,0,0,985257,1368840,3645479,1313197,1231335,1865510,1865510,1871988,0,6/5/2022
22,17,Quảng Ninh,0,0,1013446,1320324,3239524,1182271,1135218,2121498,2121498,1778123,0,6/5/2022
23,42,Lâm Đồng,0,0,901167,1296606,3257684,1204975,1108630,1952774,1952774,1642299,0,6/5/2022
24,30,Hà Tĩnh,0,0,795436,1288866,2574713,964070,902472,1220150,1220150,1642572,0,6/5/2022
25,56,Bến Tre,0,0,980652,1288463,3146946,1197304,1136079,1882520,1882520,1863239,0,6/5/2022
26,12,Thái Nguyên,0,0,918061,1286751,2950222,1117929,1013807,1271330,1271330,1693856,0,6/5/2022
27,22,Hưng Yên,0,0,935528,1252731,2586701,984466,892511,1686572,1686572,1705117,0,6/5/2022
28,14,Sơn La,0,0,786097,1248415,2467060,937087,817344,1193980,1193980,1458572,0,6/5/2022
29,55,Cần Thơ,0,0,941769,1235171,2921644,1060819,1406786,2132068,2132068,1789361,0,6/5/2022
30,35,Quảng Ngãi,0,0,883502,1231697,2624455,1025558,926146,1562604,1562604,1678654,0,6/5/2022
31,41,Khánh Hòa,0,0,901731,1231107,3000373,1123518,1074987,1886770,1886770,1695222,0,6/5/2022
32,47,Bình Thuận,0,0,865494,1230808,2629939,1064319,1011560,1701850,1701850,1592509,0,6/5/2022
33,59,Sóc Trăng,0,0,861361,1199653,2828280,1107059,980636,2114660,2114660,1636586,0,6/5/2022
34,61,Cà Mau,0,0,857571,1194476,2712500,980014,969335,1677630,1677630,1629385,0,6/5/2022
35,46,Tây Ninh,0,0,954662,1169165,2689702,1104037,1004105,2055900,2055900,1658187,0,6/5/2022
36,16,Vĩnh Phúc,0,0,789896,1154154,2602649,937661,856825,1462250,1462250,1453409,0,6/5/2022
37,52,Bà Rịa - Vũng Tàu,0,0,891244,1148313,2888173,1137458,1001313,2034410,2034410,1563924,0,6/5/2022
38,4,Đà Nẵng,0,0,885070,1134310,2649466,1010870,927258,1720782,1720782,1571173,0,6/5/2022
39,33,Thừa Thiên Huế,0,0,779911,1128620,2519675,924867,873587,1616626,1616626,1481288,0,6/5/2022
40,57,Vĩnh Long,0,0,769026,1022791,2623045,938511,859765,1733130,1733130,1461149,0,6/5/2022
41,58,Trà Vinh,0,0,734794,1009168,2349052,977324,707643,1353410,1353410,1396109,0,6/5/2022
42,43,Bình Phước,0,0,758594,994679,2360458,877310,808392,1528060,1528060,1285789,0,6/5/2022
43,27,Ninh Bình,0,0,695394,982487,2189837,786278,744108,1239970,1239970,1279525,0,6/5/2022
44,39,Phú Yên,0,0,649673,961152,1870323,760239,667283,1108954,1108954,1171033,0,6/5/2022
45,60,Bạc Liêu,0,0,572580,907236,1795461,709404,651523,1269690,1269690,1275056,0,6/5/2022
46,31,Quảng Bình,0,0,611974,895430,1718804,651706,586612,978810,978810,1135015,0,6/5/2022
47,5,Hà Giang,0,0,490008,854679,1703115,558612,490854,1128820,1128820,1145979,0,6/5/2022
48,23,Hòa Bình,0,0,570146,854131,1870984,679230,612782,1046120,1046120,1100234,0,6/5/2022
49,24,Hà Nam,0,0,612219,852800,1966885,674667,653615,1213520,1213520,1126483,0,6/5/2022
50,13,Yên Bái,0,0,510271,821030,1963280,652467,599859,1034300,1034300,1039328,0,6/5/2022
51,9,Tuyên Quang,0,0,535735,784811,1609995,611552,575321,930610,930610,985752,0,6/5/2022
52,10,Lạng Sơn,0,0,558242,781655,1639851,613749,580713,1117220,1117220,1017262,0,6/5/2022
53,64,Hậu Giang,0,0,536163,733017,1644507,647982,587323,1190250,1190250,1018710,0,6/5/2022
54,8,Lào Cai,0,0,445164,730420,1761751,585577,543291,933550,933550,856325,0,6/5/2022
55,32,Quảng Trị,0,0,463442,632375,1354296,530186,486146,848182,848182,786243,0,6/5/2022
56,63,Đắk Nông,0,0,404872,622168,1425698,513582,469090,819420,819420,723091,0,6/5/2022
57,62,Điện Biên,0,0,339186,598856,1260850,466869,410087,629460,629460,663416,0,6/5/2022
58,45,Ninh Thuận,0,0,373632,590467,1342826,517624,464154,892660,892660,739091,0,6/5/2022
59,36,Kon Tum,0,0,338741,540438,1082138,424104,363075,621200,621200,611388,0,6/5/2022
60,6,Cao Bằng,0,0,368973,530341,1073974,418354,380554,550460,550460,678910,0,6/5/2022
61,7,Lai Châu,0,0,282600,460196,936945,349461,299587,517840,517840,496261,0,6/5/2022
62,11,Bắc Kạn,0,0,220169,313905,648639,258125,226984,343170,343170,409198,0,6/5/2022
0,1,Hà Nội,0,0,6200000,8053664,16974296,6305880,6273500,12294742,12294742,11376541,0,6/6/2022
1,2,TP HCM,0,0,7208800,8993082,20894435,8160051,7719928,14637020,14637020,13794299,0,6/6/2022
2,28,Thanh Hóa,0,0,2393453,3640128,7961035,2969353,2198131,3877590,3877590,4794541,0,6/6/2022
3,29,Nghệ An,0,0,1960668,3327791,7030598,2420059,2243367,3900900,3900900,4267816,0,6/6/2022
4,48,Đồng Nai,0,0,2384309,3097107,7908546,3304783,3038224,5025430,5025430,4256053,0,6/6/2022
5,44,Bình Dương,0,0,2066553,2426561,6936665,2938736,2393716,4772470,4772470,3550283,0,6/6/2022
6,51,An Giang,0,0,1457127,1908352,4402160,1693315,1542779,3112132,3112132,2606158,0,6/6/2022
7,21,Hải Dương,0,0,1344063,1892254,4105015,1562902,1473468,2025640,2025640,2598385,0,6/6/2022
